Wavelength (nm),i
937.4000244,0.0000879
937.5999756,0.0000737
937.7999878,-0.000018
938,0.00015133
938.2000122,0.000212165
938.4000244,-0.00000203
938.5999756,0.000131584
938.7999878,0.000218973
939,0.000046
939.2000122,-0.0000141
939.4000244,0.0000883
939.5999756,0.000107999
939.7999878,0.000219066
940,0.000175231
940.2000122,0.000055
940.4000244,0.000118939
940.5999756,-0.00000155
940.7999878,0.0000886
941,0.000178642
941.2000122,0.000086
941.4000244,0.000117298
941.5999756,0.000105309
941.7999878,0.0000334
942,0.0000815
942.2000122,-0.0000306
942.4000244,0.000207147
942.5999756,0.000135164
942.7999878,0.0000453
943,0.0001214
943.2000122,0.000297611
943.4000244,0.000214041
943.5999756,0.0000322
943.7999878,-0.00000574
944,-0.0000413
944.2000122,0.000074
944.4000244,0.000284479
944.5999756,-0.0000382
944.7999878,0.00021696
945,0.0000302
945.2000122,0.0000278
945.4000244,0.0000946
945.5999756,0.0000965
945.7999878,0.000124776
946,0.000120527
946.2000122,0.00026222
946.4000244,-0.0000253
946.5999756,0.0000559
946.7999878,0.000172683
947,-0.0000485
947.2000122,0.000163545
947.4000244,0.000159526
947.5999756,0.000173856
947.7999878,0.000227408
948,0.0000482
948.2000122,0.000111046
948.4000244,0.000129657
948.5999756,0.0000923
948.7999878,0.000113376
949,0.000243593
949.2000122,-0.0000174
949.4000244,0.000179679
949.5999756,0.0000567
949.7999878,0.000205381
950,0.000266939
950.2000122,0.000224094
950.4000244,-0.0000173
950.5999756,0.000176006
950.7999878,0.000160998
951,0.0000203
951.2000122,0.000212988
951.4000244,0.000105155
951.5999756,0.00013929
951.7999878,0.000153403
952,0.0000729
952.2000122,0.000132447
952.4000244,0.000176262
952.5999756,0.000100969
952.7999878,0.000196957
953,0.000237223
953.2000122,0.000185348
953.4000244,0.0000408
953.5999756,0.0000805
953.7999878,-0.000101746
954,0.000283333
954.2000122,0.000200579
954.4000244,0.000128
954.5999756,0.000148708
954.7999878,0.0000294
955,-0.00000664
955.2000122,-0.000000352
955.4000244,0.0000859
955.5999756,0.000268939
955.7999878,0.000327623
956,-0.000118874
956.2000122,-0.0000786
956.4000244,0.0000816
956.5999756,0.0000348
956.7999878,0.00032783
957,0.000187131
957.2000122,0.0000115
957.4000244,0.0000846
957.5999756,0.000116635
957.7999878,0.000167863
958,0.000211323
958.2000122,0.000188482
958.4000244,0.00004
958.5999756,0.000191976
958.7999878,0.000111714
959,0.0000534
959.2000122,0.000125115
959.4000244,0.000169038
959.5999756,0.0000245
959.7999878,0.000255803
960,-0.0000613
960.2000122,0.000135214
960.4000244,0.000166612
960.5999756,-0.0000193
960.7999878,0.0000406
961,0.000287889
961.2000122,0.000113087
961.4000244,0.000102355
961.5999756,0.0000449
961.7999878,0.000125404
962,0.00000329
962.2000122,0.0000476
962.4000244,0.0000672
962.5999756,0.000174034
962.7999878,0.0000153
963,-0.0000226
963.2000122,0.0000805
963.4000244,0.000155428
963.5999756,0.0000158
963.7999878,0.0000887
964,-0.0000908
964.2000122,0.0000781
964.4000244,0.0000594
964.5999756,0.00000448
964.7999878,0.0000688
965,-0.0000253
965.2000122,0.0000383
965.4000244,0.000159897
965.5999756,-0.0000772
965.7999878,0.0000141
966,-0.000000483
966.2000122,0.000229375
966.4000244,0.0000494
966.5999756,0.0000738
966.7999878,0.0000516
967,-0.0000216
967.2000122,0.00000985
967.4000244,0.0000868
967.5999756,0.0000882
967.7999878,0.000101314
968,0.000011
968.2000122,-0.0000782
968.4000244,0.0000602
968.5999756,-0.0000383
968.7999878,-0.000124017
969,-0.000104207
969.2000122,0.0000736
969.4000244,-0.0000136
969.5999756,-0.0000371
969.7999878,0.0000154
970,-0.000025
970.2000122,0.0000801
970.4000244,-0.0000741
970.5999756,-0.0000265
970.7999878,0.0000126
971,0.0000917
971.2000122,0.00012612
971.4000244,-0.0000321
971.5999756,0.000142934
971.7999878,-0.0000199
972,0.0000477
972.2000122,0.000122183
972.4000244,0.0000439
972.5999756,0.0000519
972.7999878,0.0000839
973,0.0000692
973.2000122,0.000200562
973.4000244,0.000202901
973.5999756,0.0000269
973.7999878,-0.0000622
974,0.0000782
974.2000122,0.000151409
974.4000244,0.000114782
974.5999756,0.00011893
974.7999878,-0.0000105
975,0.0000389
975.2000122,-0.000003
975.4000244,0.00020909
