Wavelength (nm),g
900.5999756,0.005123478
900.7999878,0.005228366
901,0.005253168
901.2000122,0.004752982
901.4000244,0.004776084
901.5999756,0.005062575
901.7999878,0.004788625
902,0.005201752
902.2000122,0.004923462
902.4000244,0.005312815
902.5999756,0.004974306
902.7999878,0.005119805
903,0.005252623
903.2000122,0.00510695
903.4000244,0.004851269
903.5999756,0.005070561
903.7999878,0.00501671
904,0.005131574
904.2000122,0.00526148
904.4000244,0.005124295
904.5999756,0.005027742
904.7999878,0.004801747
905,0.005118468
905.2000122,0.005230255
905.4000244,0.005142165
905.5999756,0.00500236
905.7999878,0.005322903
906,0.005176418
906.2000122,0.005484565
906.4000244,0.00512443
906.5999756,0.005083133
906.7999878,0.005141733
907,0.00514999
907.2000122,0.005223957
907.4000244,0.00551484
907.5999756,0.005237427
907.7999878,0.005219448
908,0.00535569
908.2000122,0.005320518
908.4000244,0.005310236
908.5999756,0.005155335
908.7999878,0.005518616
909,0.005412069
909.2000122,0.005384446
909.4000244,0.005357286
909.5999756,0.005385681
909.7999878,0.005357189
910,0.005527994
910.2000122,0.005527357
910.4000244,0.005267443
910.5999756,0.005182684
910.7999878,0.005574333
911,0.00549272
911.2000122,0.005462864
911.4000244,0.005542175
911.5999756,0.005233755
911.7999878,0.005456865
912,0.005625566
912.2000122,0.005545457
912.4000244,0.005577326
912.5999756,0.005369111
912.7999878,0.005472818
913,0.005344037
913.2000122,0.005331106
913.4000244,0.005287967
913.5999756,0.005687652
913.7999878,0.005339864
914,0.005462091
914.2000122,0.005715569
914.4000244,0.005490112
914.5999756,0.005557795
914.7999878,0.005461526
915,0.005431329
915.2000122,0.005299948
915.4000244,0.00538338
915.5999756,0.005609334
915.7999878,0.005460318
916,0.005361591
916.2000122,0.005557287
916.4000244,0.005487089
916.5999756,0.00545118
916.7999878,0.005316447
917,0.005441319
917.2000122,0.005328451
917.4000244,0.005344511
917.5999756,0.005289517
917.7999878,0.005416011
918,0.005437655
918.2000122,0.005445225
918.4000244,0.005266537
918.5999756,0.005420303
918.7999878,0.005240247
919,0.005151553
919.2000122,0.005327798
919.4000244,0.005195336
919.5999756,0.005272379
919.7999878,0.005285114
920,0.005211087
920.2000122,0.005219582
920.4000244,0.005342584
920.5999756,0.005014324
920.7999878,0.005086886
921,0.005352726
921.2000122,0.005176284
921.4000244,0.00520329
921.5999756,0.005033953
921.7999878,0.005114542
922,0.005071709
922.2000122,0.005029396
922.4000244,0.004909544
922.5999756,0.004913044
922.7999878,0.004966532
923,0.005058024
923.2000122,0.005053723
923.4000244,0.005066688
923.5999756,0.004696328
923.7999878,0.004844596
924,0.004785963
924.2000122,0.004896272
924.4000244,0.004780265
924.5999756,0.004853882
924.7999878,0.00489908
925,0.004762979
925.2000122,0.004777479
925.4000244,0.004664036
925.5999756,0.004507867
925.7999878,0.004782685
926,0.004634934
926.2000122,0.004458635
926.4000244,0.004466943
926.5999756,0.004461619
