Wavelength (nm),zs
924.7999878,12.69117928
925,12.1757431
925.2000122,11.87027454
925.4000244,11.41304302
925.5999756,11.1551981
925.7999878,10.73333359
926,10.3832922
926.2000122,10.05131626
926.4000244,9.780735016
926.5999756,9.457474709
926.7999878,9.165967941
927,8.87660408
927.2000122,8.640995979
927.4000244,8.431340218
927.5999756,8.106349945
927.7999878,7.915434361
928,7.629867554
928.2000122,7.509529591
928.4000244,7.258225918
928.5999756,7.044485092
928.7999878,6.842126846
929,6.670370579
929.2000122,6.502869129
929.4000244,6.311401844
929.5999756,6.128138542
929.7999878,5.995964527
930,5.866185665
930.2000122,5.636020184
930.4000244,5.784936428
930.5999756,5.769359112
930.7999878,5.507333755
931,5.56114912
931.2000122,5.521796703
931.4000244,5.242425919
931.5999756,5.017402172
931.7999878,4.760259628
932,4.511636734
932.2000122,4.273385525
932.4000244,4.055845737
932.5999756,3.861717224
932.7999878,3.607808352
933,3.423898697
933.2000122,3.214920759
933.4000244,3.055919647
933.5999756,2.834203005
933.7999878,2.673374414
934,2.484454632
934.2000122,2.344642401
934.4000244,2.161228657
934.5999756,2.002291918
934.7999878,1.849655867
935,1.701663256
935.2000122,1.561541438
935.4000244,1.403530121
935.5999756,1.280859113
935.7999878,1.153307676
936,1.053266406
936.2000122,0.924717367
936.4000244,0.826168716
936.5999756,0.726398051
936.7999878,0.647372127
937,0.565377414
937.2000122,0.492146015
937.4000244,0.422027767
937.5999756,0.36880219
937.7999878,0.318326414
938,0.268970579
938.2000122,0.233149618
938.4000244,0.199704662
938.5999756,0.173683897
938.7999878,0.146263838
939,0.127141535
939.2000122,0.108737804
939.4000244,0.096026756
939.5999756,0.081349939
939.7999878,0.070796758
940,0.061146759
940.2000122,0.054346271
940.4000244,0.048318896
940.5999756,0.042617779
940.7999878,0.038110308
941,0.034302309
941.2000122,0.031185325
941.4000244,0.027835215
941.5999756,0.025290508
941.7999878,0.022849603
942,0.02158876
942.2000122,0.019584591
942.4000244,0.018393222
942.5999756,0.016996242
942.7999878,0.016089549
943,0.015206066
943.2000122,0.014341388
943.4000244,0.013536981
943.5999756,0.012910082
943.7999878,0.012237225
944,0.011624097
944.2000122,0.011237649
944.4000244,0.010791552
944.5999756,0.01026354
944.7999878,0.010013958
